"Tests by Day","5","2020-03-02 00:00:00","2020-03-01 00:00:00","5","5","","","","",""
"Tests by Day","3","2020-03-01 00:00:00","2020-02-28 00:00:00","3","3","","","","",""
"Tests by Day","1","2020-02-28 00:00:00","2020-02-27 00:00:00","1","1","","","","",""
"Tests by Day","6","2020-02-27 00:00:00","2020-02-26 00:00:00","6","6","","","","",""
"Tests by Day","5","2020-02-26 00:00:00","2020-02-25 00:00:00","5","5","","","","",""
"Tests by Day","4","2020-02-25 00:00:00","2020-02-24 00:00:00","4","4","","","","",""
"Tests by Day","1","2020-02-24 00:00:00","2020-02-23 00:00:00","1","1","","","","",""
"Tests by Day","1","2020-02-23 00:00:00","2020-02-22 00:00:00","1","1","","","","",""
"Tests by Day","1","2020-02-22 00:00:00","2020-02-16 00:00:00","1","1","","","","",""
"Tests by Day","1","2020-02-16 00:00:00","2020-02-08 00:00:00","1","1","","","","",""
"Tests by Day","1","2020-02-08 00:00:00","2020-02-02 00:00:00","1","1","","","","",""
"% Positive Overall (PCR)","0.144447883165278","","","","","","","","",""
"% Positive Overall","0.126553842680957","","","","","","","","",""
"Map of Arizona","YUMA","YUMA","53757","32.7539","-113.9364","YUMA","53757","","",""
"Map of Arizona","YAVAPAI","YAVAPAI","29436","34.7064","-112.4429","YAVAPAI","29436","","",""
"Map of Arizona","SANTA CRUZ","SANTA CRUZ","8741","31.5332","-110.812","SANTA CRUZ","8741","","",""
"Map of Arizona","PINAL","PINAL","69426","32.9849","-111.4931","PINAL","69426","","",""
"Map of Arizona","PIMA","PIMA","142303","31.9681","-111.7806","PIMA","142303","","",""
"Map of Arizona","NAVAJO","NAVAJO","20232","35.3134","-110.2972","NAVAJO","20232","","",""
"Map of Arizona","MOHAVE","MOHAVE","17588","35.6177","-113.9958","MOHAVE","17588","","",""
"Map of Arizona","MARICOPA","MARICOPA","761612","33.2798","-112.7681","MARICOPA","761612","","",""
"Map of Arizona","LA PAZ","LA PAZ","5277","33.6724","-113.9329","LA PAZ","5277","","",""
"Map of Arizona","GREENLEE","GREENLEE","975","33.1001","-109.2714","GREENLEE","975","","",""
"Map of Arizona","GRAHAM","GRAHAM","2854","33.0361","-109.958","GRAHAM","2854","","",""
"Map of Arizona","GILA","GILA","11738","33.7446","-110.685","GILA","11738","","",""
"Map of Arizona","COCONINO","COCONINO","18624","35.6465","-112.0424","COCONINO","18624","","",""
"Map of Arizona","COCHISE","COCHISE","17141","31.8901","-109.7497","COCHISE","17141","","",""
"Map of Arizona","APACHE","APACHE","11394","35.3025","-109.4451","APACHE","11394","","",""
"Date updated"," ","","","","","","","","",""
"% Positive Overall (Serology)","0.0523982841544261","","","","","","","","",""
